fli	names
22MW2CLT4_8_8bp-UDP0337	A339_Mandrillus sphinx_WGS_169
22NLHHLT4_2_8bp-UDP0337	A339_Mandrillus sphinx_WGS_169
22MW2CLT4_8_8bp-UDP0338	A542_Otaria byronia_WGS_170
22NLHHLT4_2_8bp-UDP0338	A542_Otaria byronia_WGS_170
22MW2CLT4_8_8bp-UDP0339	A322_Pan troglodytes_WGS_172
22NLHHLT4_2_8bp-UDP0339	A322_Pan troglodytes_WGS_172
22MW2CLT4_8_8bp-UDP0340	A204_Connochaetes gnou_WGS_173
22NLHHLT4_2_8bp-UDP0340	A204_Connochaetes gnou_WGS_173
22MW2CLT4_8_8bp-UDP0341	A492_Macaca sylvanus_WGS_176
22NLHHLT4_2_8bp-UDP0341	A492_Macaca sylvanus_WGS_176
22NLHHLT4_4_UDP0280	A77_Saguinus imperator_WGS_178
22MW2CLT4_8_8bp-UDP0342	A485_Equus quagga_WGS_204
22NLHHLT4_2_8bp-UDP0342	A485_Equus quagga_WGS_204
22MW2CLT4_8_8bp-UDP0343	A653_Xenopus longipes_WGS_211
22NLHHLT4_2_8bp-UDP0343	A653_Xenopus longipes_WGS_211
22MW2CLT4_8_8bp-UDP0344	A655_Xenopus borealis_WGS_213
22NLHHLT4_2_8bp-UDP0344	A655_Xenopus borealis_WGS_213
22MW2CLT4_8_8bp-UDP0345	A637_Tapirus terrestris_WGS_215
22NLHHLT4_2_8bp-UDP0345	A637_Tapirus terrestris_WGS_215
22MW2CLT4_8_8bp-UDP0346	A635_Equus quagga_WGS_216
22NLHHLT4_2_8bp-UDP0346	A635_Equus quagga_WGS_216
22NLHHLT4_4_8bp-UDP0281	A347_Saguinus oedipus_WGS_217
22VML7LT3_1_8bp-UDP0281	A347_Saguinus oedipus_WGS_217
22VTVFLT4_1_8bp-UDP0281	A347_Saguinus oedipus_WGS_217
22MW2CLT4_8_8bp-UDP0347	A304_Delphinapterus leucas_WGS_220
22NLHHLT4_2_8bp-UDP0347	A304_Delphinapterus leucas_WGS_220
22MW2CLT4_8_8bp-UDP0348	A318_Pongo pygmaeus_WGS_221
22NLHHLT4_2_8bp-UDP0348	A318_Pongo pygmaeus_WGS_221
22MW2CLT4_8_8bp-UDP0349	A382_Elaphurus davidianus_WGS_222
22NLHHLT4_2_8bp-UDP0349	A382_Elaphurus davidianus_WGS_222
22MW2CLT4_8_8bp-UDP0350	A169_Oryx dammah_WGS_225
22NLHHLT4_2_8bp-UDP0350	A169_Oryx dammah_WGS_225
22MW2CLT4_8_8bp-UDP0351	A560_Cebuella pygmaea_WGS_226
22NLHHLT4_2_8bp-UDP0351	A560_Cebuella pygmaea_WGS_226
22NLHHLT4_2_8bp-UDP0352	A522_Gorilla gorilla_WGS_229
22VML7LT3_1_8bp-UDP0352	A522_Gorilla gorilla_WGS_229
22VTVFLT4_1_8bp-UDP0352	A522_Gorilla gorilla_WGS_229
22NLHHLT4_4_8bp-UDP0353	A461_Pongo pygmaeus_WGS_232
22VML7LT3_1_8bp-UDP0353	A461_Pongo pygmaeus_WGS_232
22NLHHLT4_4_UDP0354	A286_Oryctolagus cuniculus_WGS_235
22NLHHLT4_4_UDP0355	A467_Hylobates lar_WGS_242
22NLHHLT4_4_UDP0356	A298_Hylobates muelleri_WGS_243
22NLHHLT4_4_8bp-UDP0357	A379_Hylobates pileatus_WGS_244
22VML7LT3_1_8bp-UDP0357	A379_Hylobates pileatus_WGS_244
22NLHHLT4_4_UDP0358	A31_Lama guanicoe_WGS_245
22NLHHLT4_5_8bp-UDP0282	A381_Mandrillus leucophaeus_WGS_246
22VML7LT3_1_8bp-UDP0282	A381_Mandrillus leucophaeus_WGS_246
